gateway,gw_lat,gw_lon,gw_elevation
7276ff002e0507da,16.074012756347656,108.15252685546876,13.0
7276ff002e0507da,16.07401466369629,108.15257263183594,13.0
7276ff002e0507da,16.074016571044922,108.1523895263672,13.0
7276ff002e0507da,16.074016571044922,108.15250396728516,13.0
7276ff002e0507da,16.074016571044922,108.15251922607422,13.0
7276ff002e0507da,16.074016571044922,108.1525421142578,13.0
7276ff002e0507da,16.074016571044922,108.15260314941406,13.0
7276ff002e0507da,16.074018478393555,108.1524429321289,13.0
7276ff002e0507da,16.074018478393555,108.15255737304688,13.0
7276ff002e0507da,16.074018478393555,108.1526107788086,13.0
7276ff002e0507da,16.074018478393555,108.15262603759766,13.0
7276ff002e0507da,16.074020385742188,108.15252685546876,13.0
7276ff002e0507da,16.07402229309082,108.15238189697266,13.0
7276ff002e0507da,16.074024200439453,108.1524887084961,13.0
7276ff002e0507da,16.074024200439453,108.1525650024414,13.0
7276ff002e0507da,16.074024200439453,108.15258026123048,13.0
7276ff002e0507da,16.074026107788086,108.15243530273438,13.0
7276ff002e0507da,16.074026107788086,108.15248107910156,13.0
7276ff002e0507da,16.074026107788086,108.1524887084961,13.0
7276ff002e0507da,16.074026107788086,108.15269470214844,13.0
7276ff002e0507da,16.07402992248535,108.1525650024414,14.0
7276ff002e0507da,16.07402992248535,108.15261840820312,14.0
7276ff002e0507da,16.074031829833984,108.15250396728516,14.0
7276ff002e0507da,16.074031829833984,108.15262603759766,14.0
7276ff002e0507da,16.074033737182617,108.15254974365234,14.0
7276ff002e0507da,16.074033737182617,108.15264892578124,15.0
7276ff002e0507da,16.074037551879883,108.15247344970705,14.0
7276ff002e0507da,16.074039459228516,108.15242767333984,14.0
7276ff002e0507da,16.074039459228516,108.15261840820312,14.0
7276ff002e0507da,16.07404136657715,108.1524429321289,14.0
7276ff002e0507da,16.07404136657715,108.1524887084961,14.0
7276ff002e0507da,16.07404136657715,108.15249633789062,14.0
7276ff002e0507da,16.07404136657715,108.15254974365234,14.0
7276ff002e0507da,16.07404327392578,108.15253448486328,14.0
7276ff002e0507da,16.07404327392578,108.1526107788086,14.0
7276ff002e0507da,16.07404899597168,108.15255737304688,14.0
7276ff002e0507da,16.074052810668945,108.15250396728516,14.0
7276ff002e0507da,16.074054718017578,108.15251159667967,14.0
7276ff002e0507da,16.07405662536621,108.1524658203125,14.0
