device,lat,lon,gateway,gw_lat,gw_lon,rssi,snr,time,frequency,bandwidth,spreading_factor
board01,16.0530525,108.2033574,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-129,-14.5,2026-02-06T11:16:23.291385438+00:00,922200000,125000,12
board01,16.0530617,108.2033425,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-134,-17.5,2026-02-06T11:16:09.297809547+00:00,922200000,125000,12
board01,16.053076100000002,108.20332679999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-134,-17.5,2026-02-06T11:15:55.298486515+00:00,922200000,125000,12
board01,16.0530866,108.20331879999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-133,-16.8,2026-02-06T11:15:41.297658680+00:00,922200000,125000,12
board01,16.0744137,108.1527596,a840411eebb44150,16.0740984,108.15253,-79,5.8,2026-02-05T00:54:37.003339+00:00,922200000,125000,12
board01,16.074388400000004,108.153071,a840411eebb44150,16.0740984,108.15253,-79,0.8,2026-02-05T00:54:21.995724+00:00,922200000,125000,12
board01,16.07424,108.15341400000003,a840411eebb44150,16.0740984,108.15253,-89,4.2,2026-02-05T00:54:06.989818+00:00,922200000,125000,12
board01,16.0794217,108.14728319999999,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-112,-18.0,2026-02-04T13:41:53.291781157+00:00,922200000,125000,12
board01,16.0774609,108.14821520000001,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-110,-16.2,2026-02-04T12:46:46.231046885+00:00,922200000,125000,12
board01,16.077322399999996,108.14818300000002,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-112,-13.0,2026-02-04T12:46:31.240080011+00:00,922200000,125000,12
board01,16.077358500000003,108.1481929,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-112,-10.8,2026-02-04T12:46:16.237630960+00:00,922200000,125000,12
board01,16.077382300000004,108.14830459999999,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-112,-8.8,2026-02-04T12:46:01.229629492+00:00,922200000,125000,12
board01,16.0768783,108.1484367,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-110,-10.0,2026-02-04T09:51:06.252796956+00:00,922200000,125000,12
board01,16.0767864,108.1484771,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-111,-13.2,2026-02-04T09:50:51.249439707+00:00,922200000,125000,12
board01,16.076782,108.14848129999999,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-111,-14.5,2026-02-04T09:50:36.252741299+00:00,922200000,125000,12
board01,16.076287,108.14872140000003,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-109,-17.2,2026-02-04T09:50:21.248823040+00:00,922200000,125000,12
board01,16.0743751,108.15330390000001,a840411eebb44150,16.0740984,108.15253,-89,0.5,2026-02-04T07:44:36.045222+00:00,922200000,125000,12
board01,16.0744097,108.1532575,a840411eebb44150,16.0740984,108.15253,-78,4.5,2026-02-04T07:44:21.045364+00:00,922200000,125000,12
board01,16.074499199999998,108.15341049999999,a840411eebb44150,16.0740984,108.15253,-83,7.0,2026-02-04T07:44:06.048515+00:00,922200000,125000,12
board01,16.074824599999996,108.15309429999999,a840411eebb44150,16.0740984,108.15253,-108,-13.5,2026-02-04T07:43:51.049385+00:00,922200000,125000,12
