lat,lon,gateway,gateway_id,gw_lat,gw_lon,rssi,distance_3d,closest_to_gw_distance
16.0499943,108.2274879,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-125,973.1663119798992,1108.9192916701045
16.0530504,108.2033337,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-132,1775.8932516963523,1776.5169325317431
16.0530541,108.20332700000002,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-133,1776.5609084892062,1775.8492592054777
16.0530501,108.20334630000002,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-135,1774.5582484040433,1774.779713506722
16.053048599999997,108.20335500000002,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-130,1773.6519462358517,1773.3062727582103
16.0530525,108.2033574,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-129,1773.3503283343694,1773.6078981517376
16.0530617,108.2033425,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-134,1774.823732508387,1774.5142228167194
16.053076100000002,108.2033268,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-134,1776.3216620963028,1777.0046588232383
16.0530866,108.2033188,ac1f09fffe06fcf2,10,16.054765682623003,108.21985626414312,-133,1777.0486227111214,1776.277680215729
16.0744137,108.1527596,a840411eebb44150,6,16.0740984,108.15253,-79,44.05980263043664,38.94994299004407
16.074388400000004,108.153071,a840411eebb44150,6,16.0740984,108.15253,-79,67.01832563081258,67.98821046612356
16.07424,108.15341400000004,a840411eebb44150,6,16.0740984,108.15253,-89,96.44476635177054,96.80073194234728
16.0794217,108.1472832,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-112,7612.86162048276,7609.656478320053
16.0774609,108.1482152,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-110,7556.220255491322,7557.025100654311
16.077322399999996,108.14818300000002,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-112,7562.741078373876,7565.64971839037
16.077358500000003,108.1481929,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-112,7560.881230966945,7562.740929618286
16.077382300000004,108.1483046,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-112,7548.657330082489,7557.025100654311
16.0768783,108.1484367,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-110,7546.562527681229,7548.5079533494
16.0767864,108.1484771,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-111,7544.525772401295,7544.192027640343
16.076782,108.1484813,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-111,7544.192176761679,7544.525623286554
16.076287,108.14872140000004,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-109,7531.153247175743,7541.68494095483
16.0743751,108.1533039,a840411eebb44150,6,16.0740984,108.15253,-89,89.10909131736203,85.09056646498625
16.0744097,108.1532575,a840411eebb44150,6,16.0740984,108.15253,-78,86.00380515612227,84.9385772393133
16.074499199999998,108.1534105,a840411eebb44150,6,16.0740984,108.15253,-83,104.84930148500416,98.85710435111083
16.074824599999996,108.1530943,a840411eebb44150,6,16.0740984,108.15253,-108,101.43049307171124,101.11682725201752
16.074126999999997,108.151302,a840411eebb44150,6,16.0740984,108.15253,-110,131.8414017839315,139.00198554531053
16.0729976,108.1501795,a840411eebb44150,6,16.0740984,108.15253,-107,279.7128046580764,280.68503140949366
16.0737064,108.15210220000002,a840411eebb44150,6,16.0740984,108.15253,-81,64.38600034526978,55.34341767928738
16.074542100000002,108.15432420000002,a840411eebb44150,6,16.0740984,108.15253,-94,198.4831712629476,203.71740444760405
16.0743297,108.1525487,a840411eebb44150,6,16.0740984,108.15253,-68,28.66581675937197,29.166460572623787
16.0743896,108.152728,a840411eebb44150,6,16.0740984,108.15253,-84,40.07843631471989,38.94994299004407
16.0743253,108.1530352,a840411eebb44150,6,16.0740984,108.15253,-74,60.50279153122024,59.93888554879488
16.074277799999997,108.1534535,a840411eebb44150,6,16.0740984,108.15253,-89,101.32475965774886,97.9778944777592
16.074740400000003,108.15467809999998,a840411eebb44150,6,16.0740984,108.15253,-102,240.86390762854413,244.37863298470543
16.0747681,108.1549429,a840411eebb44150,6,16.0740984,108.15253,-110,268.79888367094554,266.0886518600574
16.074229300000002,108.1535085,a840411eebb44150,6,16.0740984,108.15253,-87,106.18335063440416,101.01579778068457
16.074229199999998,108.1530774,a840411eebb44150,6,16.0740984,108.15253,-80,61.35699348573214,57.80394185540456
16.074643000000002,108.1533347,a840411eebb44150,6,16.0740984,108.15253,-90,106.02815520514676,106.56347926332027
16.0745048,108.1523542,a840411eebb44150,6,16.0740984,108.15253,-89,50.76596256288232,54.89144395274417
16.0742,108.1515469,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-111,7294.1491192773055,7293.26962057124
16.0742,108.1515469,a840411eebb44150,6,16.0740984,108.15253,-104,106.63813242800514,106.94867781861736
16.073681,108.1501071,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-112,7457.732230669148,7482.110975012119
16.0757908,108.1487946,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-111,7535.970434447572,7532.590377542037
16.0772089,108.14817480000002,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-109,7566.203988221228,7563.224318783568
16.0773078,108.1481276,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-111,7568.867703489223,7569.686664509244
16.077340600000003,108.1481126,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-112,7569.68681312834,7568.867554854043
16.0780588,108.1477911,a84041ffff1ec39f,7,16.091299730870233,108.2174563407898,-112,7587.396391270079,7580.981073676848
16.074484899999998,108.1520226,a840411eebb44150,6,16.0740984,108.15253,-94,70.68569378564997,68.30331597740303
16.074681400000003,108.1524725,a840411eebb44150,6,16.0740984,108.15253,-79,65.95823682646893,59.42836997092357
16.0745892,108.15324660000002,a840411eebb44150,6,16.0740984,108.15253,-98,94.9901199596098,91.35811623862854
16.0744079,108.1529187,a840411eebb44150,6,16.0740984,108.15253,-87,54.95006736190845,55.452105747436704
16.0745147,108.1529984,a840411eebb44150,6,16.0740984,108.15253,-90,68.97679820578907,66.75000423975759
16.074469099999998,108.1529368,a840411eebb44150,6,16.0740984,108.15253,-90,60.8160640227991,60.44498524666593
16.0743456,108.1530397,a840411eebb44150,6,16.0740984,108.15253,-87,61.90091928414564,59.58471098419707
16.074285200000002,108.15352779999998,a840411eebb44150,6,16.0740984,108.15253,-81,109.22424555418289,105.5971059281175
